,zipcode,population,sqkm,lat,lon,population_density,physicians_count,physicians_density,physicians_per_1000_people
28,80933,18237,1.901156,48.21799,11.55671,9592.58472213748,13,6.837944913515776,0.7128365410977683
29,80935,12804,3.697491,48.19971,11.55527,3462.888753481753,26,7.0317953444646655,2.0306154326772883
30,80937,20995,6.272729,48.20958,11.57515,3347.0280638618374,18,2.86956442722139,0.8573469873779471
31,80939,25640,16.041944,48.20445,11.61273,1598.3100302556843,18,1.122058523580434,0.7020280811232449
32,80992,20834,4.260131,48.1737,11.51927,4890.459941255327,13,3.051549353764004,0.6239800326389555
33,80993,16207,2.401043,48.1867,11.52141,6749.983236451825,3,1.2494570068091242,0.1851052014561609
34,80995,24081,24.21145,48.218,11.51277,994.6120533879632,22,0.9086609847819936,0.9135833229517047
35,80997,22698,10.930837,48.19279,11.48446,2076.510700873135,8,0.7318744209615421,0.35245396070138335
36,80999,14831,8.413683,48.19266,11.45203,1762.723886792502,12,1.4262481721738267,0.8091160407255074
37,81241,20877,4.530186,48.14078,11.46653,4608.420051627019,53,11.699298880884804,2.53867892896489
38,81243,19098,3.920264,48.14465,11.43793,4871.610687443499,18,4.591527509371818,0.942507068803016
39,81245,25445,8.886998,48.16091,11.43136,2863.171568171839,32,3.600765972941594,1.2576144625663195
40,81247,16330,4.938245,48.1682,11.46864,3306.8428156156688,11,2.2275120007209037,0.6736068585425597
41,81249,17519,24.899701,48.16514,11.38836,703.582745832972,6,0.24096674895815015,0.3424853016724699
42,81369,23294,2.038406,48.11204,11.52962,11427.556630033469,16,7.849270459368741,0.6868721559199793
43,81371,23058,2.167561,48.11204,11.5468,10637.762904942469,18,8.304264562796618,0.78064012490242
44,81373,24275,2.390052,48.1232,11.53179,10156.68278347082,11,4.602410324126839,0.45314109165808447
45,81375,22853,3.099704,48.11867,11.48349,7372.639452025097,23,7.420063335079736,1.0064324158753775
46,81377,24272,6.76985,48.11084,11.491,3585.308389403015,41,6.056264171288876,1.6891891891891893
47,81379,23784,6.207256,48.10251,11.51952,3831.644771860545,31,4.994155227366166,1.303397241843256
48,81475,15079,2.571481,48.09002,11.48025,5863.935996416073,11,4.277690560420241,0.7294913455799455
49,81476,15172,2.751227,48.08739,11.4957,5514.630381280788,12,4.361690256747262,0.7909306617453203
50,81477,14152,3.184975,48.08389,11.50999,4443.362977731379,24,7.535380968453441,1.695873374788016
51,81479,15183,4.896482,48.0761,11.52156,3100.7976747387206,42,8.577586928737817,2.7662517289073305
52,81539,25433,1.899346,48.11011,11.5911,13390.398589830394,12,6.317964183461044,0.4718279400778516
53,81541,25035,2.25431,48.12126,11.58779,11105.39366812905,15,6.653920711880798,0.5991611743559018
54,81543,19962,2.943451,48.1083,11.56503,6781.835335461674,7,2.37816087307042,0.3506662659052199
55,81545,12596,3.316705,48.08389,11.54886,3797.745051187851,12,3.6180486356187846,0.952683391552874
56,81547,17735,2.302272,48.10033,11.57324,7703.260083951854,32,13.899313373919329,1.804341697208909
57,81549,24582,5.001028,48.09799,11.59982,4915.389395940195,17,3.3993011036930807,0.6915629322268326
58,81667,17082,1.205527,48.13041,11.60102,14169.736555050198,17,14.101716510704447,0.9951996253366117
59,81669,16903,1.660407,48.12054,11.60335,10180.03417234449,23,13.852025437136799,1.3607052002603088
60,81671,17950,2.293257,48.12326,11.61188,7827.295414338646,6,2.6163661552106894,0.3342618384401114
61,81673,22612,2.830201,48.12565,11.63228,7989.538552208835,30,10.59995385486755,1.3267291703520254
62,81675,11770,1.618002,48.14135,11.59825,7274.403863530453,23,14.215062774953307,1.954120645709431
